ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
MRVL,1,928.03,1164.61,0.7969,True,True,True,True,True,True,True,True,True,176.89,128.17,99.07,93.15,-3.1,3.97,-3.1,False
VRT,2,678.54,739.2,0.9179,True,True,True,True,True,True,True,True,True,370.94,296.64,224.36,203.05,-1.4,9.11,-1.4,False
000660.KS,3,533.41,712.87,0.7483,True,True,True,True,True,True,True,True,True,1819000.0,1160760.0,824426.14,689212.16,-7.9,7.89,-7.9,False
COHR,4,469.97,542.99,0.8655,True,True,True,True,True,True,True,True,True,382.45,298.06,220.85,191.47,-5.6,14.08,-5.6,False
ASX,5,332.08,424.64,0.782,True,True,True,True,True,True,True,True,True,33.81,26.7,20.39,17.95,-4.7,-1.23,-4.7,True
PWR,6,264.52,306.68,0.8625,True,True,True,True,True,True,True,True,True,769.99,623.78,517.39,485.95,-1.9,3.35,-1.9,False
MU,7,172.66,329.55,0.5239,True,True,True,True,True,True,True,True,True,724.66,486.18,362.35,306.98,-9.8,-2.97,-9.8,True
AMD,8,172.1,390.53,0.4407,True,True,True,True,True,True,True,True,True,424.1,279.21,242.34,224.19,-7.6,-6.83,-7.6,True
6861.T,14,41.04,92.74,0.4425,True,True,True,True,True,True,True,True,True,77180.0,64109.27,59478.37,58573.14,-8.3,-8.3,-8.3,True
AMAT,9,109.04,144.33,0.7555,True,True,True,True,True,True,True,False,False,436.62,380.81,313.87,280.81,-1.6,0.27,-1.6,False
KLAC,10,66.96,113.6,0.5895,True,True,True,True,True,True,True,False,False,1804.32,1653.15,1418.41,1303.51,-6.8,-3.47,-4.7,True
ETN,11,58.6,86.07,0.6809,True,True,True,True,True,False,True,False,False,399.44,386.35,362.69,361.79,-7.5,-0.52,-5.2,False
LRCX,12,50.03,100.6,0.4974,True,True,True,True,True,True,True,False,False,284.72,247.87,206.7,183.41,-4.8,-3.17,-4.8,True
AVGO,13,49.48,107.35,0.4609,True,True,True,True,True,True,True,False,False,425.19,369.25,354.39,345.83,-3.3,-1.12,-3.3,True
TSM,15,37.29,69.63,0.5356,True,True,True,True,True,True,True,False,False,404.35,367.46,332.37,312.61,-3.6,-1.78,-3.6,True
8035.T,16,29.76,75.57,0.3938,True,True,True,True,True,True,True,False,False,50290.0,42898.21,37622.97,33944.75,-4.1,-4.12,-4.1,True
ANET,17,21.07,70.74,0.2979,True,False,True,True,False,True,True,False,False,141.97,146.18,139.06,139.26,-20.1,0.14,-17.8,False
SU.PA,18,19.12,46.29,0.413,True,True,True,True,True,False,True,False,False,263.75,254.35,243.81,238.44,-5.2,-1.73,-5.2,True
NVDA,19,13.36,44.52,0.3,True,True,True,True,True,True,True,False,False,225.32,193.07,188.27,185.96,-4.4,4.7,-4.4,False
ASML,20,8.67,33.15,0.2614,True,True,True,True,True,True,True,False,False,1501.81,1415.2,1262.24,1152.64,-5.7,-5.67,-5.7,True
AMZN,21,8.51,49.22,0.1728,True,True,True,True,True,True,True,False,False,264.14,236.71,230.55,229.42,-3.9,-3.13,-3.9,True
GOOGL,22,7.56,43.84,0.1724,True,True,True,True,True,True,True,False,False,396.78,332.74,313.23,291.06,-1.5,-1.0,-1.5,True
6954.T,23,0.48,15.42,0.0311,True,True,True,True,True,True,True,False,False,8228.0,6328.06,5857.06,5436.66,0.0,9.49,0.0,False
ROK,24,0.01,3.76,0.003,True,True,True,True,True,True,True,False,False,448.74,394.17,391.71,379.13,-2.3,-1.13,-2.3,True
CCJ,25,-0.0,-0.31,0.0,True,True,True,True,False,True,True,False,False,107.51,114.51,106.01,99.3,-19.8,-7.91,-13.1,False
CEG,26,-0.04,-5.45,0.0069,False,False,False,False,False,False,False,False,False,267.2,297.42,324.08,325.31,-33.7,-12.0,-17.2,False
META,27,-1.58,-16.42,0.0961,False,False,False,False,False,False,True,False,False,614.23,621.8,646.08,672.6,-22.1,0.75,-0.7,False
VST,28,-2.72,-18.17,0.1496,False,False,False,False,False,False,False,False,False,139.68,156.23,166.99,175.33,-35.7,-5.44,-13.2,False
LHX,29,-3.95,-21.22,0.1861,False,True,True,True,False,True,True,False,False,303.39,340.15,321.03,310.44,-19.6,1.25,-2.0,False
MSFT,30,-6.01,-27.72,0.2167,False,False,False,False,True,False,True,False,False,421.92,399.06,445.37,461.91,-21.8,1.64,0.0,False
NOC,31,-8.36,-35.99,0.2323,False,True,True,True,False,False,False,False,False,540.69,649.39,629.14,617.87,-29.6,-1.61,-4.6,False
TSLA,32,-8.42,-29.87,0.282,True,True,True,False,True,True,True,False,False,422.24,386.78,418.78,407.4,-13.8,-1.43,-5.2,True
PLTR,33,-12.14,-38.59,0.3145,False,False,False,False,False,False,False,False,False,133.99,144.4,160.83,163.35,-35.3,-2.76,-8.2,False
