ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
SNDK,1,2124.18,2466.43,0.8612,True,True,True,True,True,True,True,True,True,1407.61,922.65,537.94,421.95,-9.9,-9.9,-9.9,True
LITE,2,1840.51,2109.1,0.8727,True,True,True,True,True,True,True,True,True,970.7,818.97,516.39,422.58,-7.8,7.4,-7.8,False
CIEN,3,1493.5,1555.17,0.9603,True,True,True,True,True,True,True,True,True,554.46,460.77,308.87,260.86,-6.3,1.16,-6.3,False
DELL,4,909.68,980.16,0.9281,True,True,True,True,True,True,True,True,True,241.99,190.17,151.0,146.32,-7.1,-7.09,-7.1,True
VRT,5,678.54,739.2,0.9179,True,True,True,True,True,True,True,True,True,370.94,296.64,224.36,203.05,-1.4,9.11,-1.4,False
STX,6,627.69,845.96,0.742,True,True,True,True,True,True,True,True,True,795.47,539.44,386.72,337.14,-4.6,1.64,-4.6,False
WDC,7,605.78,728.1,0.832,True,True,True,True,True,True,True,True,True,482.02,358.54,250.73,211.5,-6.6,0.42,-6.6,False
INTC,8,579.62,984.63,0.5887,True,True,True,True,True,True,True,True,True,108.77,69.5,50.81,44.79,-16.0,-12.93,-16.0,True
GLW,9,531.37,641.78,0.828,True,True,True,True,True,True,True,True,True,191.81,156.97,118.09,106.62,-7.9,2.61,-7.9,False
COHR,10,469.97,542.99,0.8655,True,True,True,True,True,True,True,True,True,382.45,298.06,220.85,191.47,-5.6,14.08,-5.6,False
FIX,11,420.74,464.91,0.905,True,True,True,True,True,True,True,True,True,1992.74,1619.02,1244.33,1119.11,-2.4,2.07,-2.4,False
KEYS,12,411.37,451.19,0.9117,True,True,True,True,True,True,True,True,True,349.01,318.05,244.98,225.82,-4.8,-3.13,-4.8,True
GEV,13,330.38,362.65,0.911,True,True,True,True,True,True,True,True,True,1049.23,966.41,768.11,731.2,-8.7,0.87,-6.2,False
APA,14,321.1,403.56,0.7957,True,True,True,True,True,True,True,True,True,38.98,38.16,29.44,27.52,-11.6,9.62,-7.2,False
LYB,15,275.76,349.64,0.7887,True,True,True,True,True,True,True,True,True,75.06,73.64,56.22,54.68,-8.9,4.6,-3.5,False
PWR,16,264.52,306.68,0.8625,True,True,True,True,True,True,True,True,True,769.99,623.78,517.39,485.95,-1.9,3.35,-1.9,False
DOW,17,223.68,274.2,0.8158,True,True,True,True,True,True,True,True,True,38.75,38.45,29.7,27.94,-7.5,5.1,-5.0,False
TER,18,219.32,301.62,0.7271,True,True,True,True,True,True,True,True,True,337.88,337.1,256.5,222.48,-19.2,-6.08,-11.7,True
CF,19,216.69,283.04,0.7656,True,True,True,True,True,True,True,True,True,125.24,124.15,98.33,95.26,-9.0,8.89,-3.9,False
ON,20,188.72,341.54,0.5526,True,True,True,True,True,True,True,True,True,113.11,78.67,64.17,60.58,-4.4,9.6,-4.4,False
DVA,21,187.25,277.0,0.676,True,True,True,True,True,True,True,True,True,199.74,158.62,135.6,135.1,-0.4,0.55,-0.4,False
JBL,22,185.61,229.38,0.8092,True,True,True,True,True,True,True,True,True,339.82,301.13,253.05,243.3,-8.7,-4.32,-8.7,True
MPWR,23,173.28,264.46,0.6552,True,True,True,True,True,True,True,True,True,1550.02,1327.28,1123.19,1057.06,-6.7,-3.17,-6.7,True
MU,24,172.66,329.55,0.5239,True,True,True,True,True,True,True,True,True,724.66,486.18,362.35,306.98,-9.8,-2.97,-9.8,True
AMD,25,172.1,390.53,0.4407,True,True,True,True,True,True,True,True,True,424.1,279.21,242.34,224.19,-7.6,-6.83,-7.6,True
EQIX,26,169.79,187.54,0.9054,True,True,True,True,True,True,True,True,True,1059.44,1030.71,883.26,855.43,-5.0,-1.18,-2.6,True
MPC,27,163.41,201.55,0.8108,True,True,True,True,True,True,True,True,True,255.03,235.35,202.61,196.01,-2.1,4.15,-2.1,False
