ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback,day_chg,mt_state,mt_spread_pct,mt_ema_fast,mt_ema_slow
SNDK,1,2124.18,2466.43,0.8612,True,True,True,True,True,True,True,True,True,1407.61,922.65,537.94,421.95,-9.9,-9.9,-9.9,True,1.8,BULL,34.81,984.71,730.45
LITE,2,1840.51,2109.1,0.8727,True,True,True,True,True,True,True,True,True,970.7,818.97,516.39,422.58,-7.8,7.4,-7.8,False,-3.11,BULL,25.32,806.17,643.3
CIEN,3,1493.5,1555.17,0.9603,True,True,True,True,True,True,True,True,True,554.46,460.77,308.87,260.86,-6.3,1.16,-6.3,False,-6.27,BULL,23.64,460.24,372.25
DELL,4,909.68,980.16,0.9281,True,True,True,True,True,True,True,True,True,241.99,190.17,151.0,146.32,-7.1,-7.09,-7.1,True,-2.38,BULL,15.36,195.62,169.57
VRT,5,678.54,739.2,0.9179,True,True,True,True,True,True,True,True,True,370.94,296.64,224.36,203.05,-1.4,9.11,-1.4,False,-1.41,BULL,17.16,296.95,253.45
STX,6,627.69,845.96,0.742,True,True,True,True,True,True,True,True,True,795.47,539.44,386.72,337.14,-4.6,1.64,-4.6,False,-1.15,BULL,24.3,575.41,462.94
WDC,7,605.78,728.1,0.832,True,True,True,True,True,True,True,True,True,482.02,358.54,250.73,211.5,-6.6,0.42,-6.6,False,-1.46,BULL,23.75,369.94,298.94
INTC,8,579.62,984.63,0.5887,True,True,True,True,True,True,True,True,True,108.77,69.5,50.81,44.79,-16.0,-12.93,-16.0,True,-6.18,BULL,26.44,77.7,61.45
GLW,9,531.37,641.78,0.828,True,True,True,True,True,True,True,True,True,191.81,156.97,118.09,106.62,-7.9,2.61,-7.9,False,-7.91,BULL,17.42,158.02,134.57
COHR,10,469.97,542.99,0.8655,True,True,True,True,True,True,True,True,True,382.45,298.06,220.85,191.47,-5.6,14.08,-5.6,False,-5.55,BULL,19.0,302.74,254.4
FIX,11,420.74,464.91,0.905,True,True,True,True,True,True,True,True,True,1992.74,1619.02,1244.33,1119.11,-2.4,2.07,-2.4,False,-2.43,BULL,16.99,1637.48,1399.64
KEYS,12,411.37,451.19,0.9117,True,True,True,True,True,True,True,True,True,349.01,318.05,244.98,225.82,-4.8,-3.13,-4.8,True,-3.47,BULL,14.2,314.88,275.72
GEV,13,330.38,362.65,0.911,True,True,True,True,True,True,True,True,True,1049.23,966.41,768.11,731.2,-8.7,0.87,-6.2,False,-3.79,BULL,12.71,959.97,851.73
APA,14,321.1,403.56,0.7957,True,True,True,True,True,True,True,True,True,38.98,38.16,29.44,27.52,-11.6,9.62,-7.2,False,5.04,BULL,11.27,36.32,32.64
LYB,15,275.76,349.64,0.7887,True,True,True,True,True,True,True,True,True,75.06,73.64,56.22,54.68,-8.9,4.6,-3.5,False,2.44,BULL,9.5,69.71,63.66
PWR,16,264.52,306.68,0.8625,True,True,True,True,True,True,True,True,True,769.99,623.78,517.39,485.95,-1.9,3.35,-1.9,False,-1.29,BULL,12.5,635.54,564.93
DOW,17,223.68,274.2,0.8158,True,True,True,True,True,True,True,True,True,38.75,38.45,29.7,27.94,-7.5,5.1,-5.0,False,-0.08,BULL,9.89,36.65,33.36
TER,18,219.32,301.62,0.7271,True,True,True,True,True,True,True,True,True,337.88,337.1,256.5,222.48,-19.2,-6.08,-11.7,True,-5.24,BULL,15.44,332.66,288.17
CF,19,216.69,283.04,0.7656,True,True,True,True,True,True,True,True,True,125.24,124.15,98.33,95.26,-9.0,8.89,-3.9,False,1.85,BULL,8.4,117.08,108.01
ON,20,188.72,341.54,0.5526,True,True,True,True,True,True,True,True,True,113.11,78.67,64.17,60.58,-4.4,9.6,-4.4,False,-4.44,BULL,15.98,84.75,73.07
DVA,21,187.25,277.0,0.676,True,True,True,True,True,True,True,True,True,199.74,158.62,135.6,135.1,-0.4,0.55,-0.4,False,3.72,BULL,8.43,161.27,148.73
JBL,22,185.61,229.38,0.8092,True,True,True,True,True,True,True,True,True,339.82,301.13,253.05,243.3,-8.7,-4.32,-8.7,True,-4.1,BULL,10.95,306.06,275.86
MPWR,23,173.28,264.46,0.6552,True,True,True,True,True,True,True,True,True,1550.02,1327.28,1123.19,1057.06,-6.7,-3.17,-6.7,True,-3.96,BULL,12.75,1373.87,1218.56
MU,24,172.66,329.55,0.5239,True,True,True,True,True,True,True,True,True,724.66,486.18,362.35,306.98,-9.8,-2.97,-9.8,True,-6.62,BULL,21.94,516.36,423.47
AMD,25,172.1,390.53,0.4407,True,True,True,True,True,True,True,True,True,424.1,279.21,242.34,224.19,-7.6,-6.83,-7.6,True,-5.69,BULL,17.72,311.29,264.45
EQIX,26,169.79,187.54,0.9054,True,True,True,True,True,True,True,True,True,1059.44,1030.71,883.26,855.43,-5.0,-1.18,-2.6,True,-1.87,BULL,7.26,1017.69,948.84
MPC,27,163.41,201.55,0.8108,True,True,True,True,True,True,True,True,True,255.03,235.35,202.61,196.01,-2.1,4.15,-2.1,False,2.5,BULL,7.47,229.96,213.98
CASY,28,160.77,176.01,0.9134,True,True,True,True,True,True,True,True,True,852.75,756.94,643.14,614.36,-4.0,-0.78,-4.0,False,-2.82,BULL,9.8,762.42,694.4
VLO,29,149.97,179.61,0.835,True,True,True,True,True,True,True,True,True,250.74,239.57,199.2,187.1,-1.4,4.02,-1.1,False,2.44,BULL,9.05,232.62,213.32
GNRC,30,143.36,230.56,0.6218,True,True,True,True,True,True,True,True,True,263.68,220.81,188.44,187.3,-4.6,-2.13,-4.6,True,-4.63,BULL,10.19,226.34,205.4
HPE,31,133.68,193.69,0.6902,True,True,True,True,True,True,True,True,True,33.1,25.92,23.69,23.45,-3.0,5.58,-3.0,False,-3.02,BULL,8.32,26.97,24.89
TRGP,32,133.43,167.87,0.7948,True,True,True,True,True,True,True,True,True,271.99,244.44,203.77,193.45,0.0,9.62,0.0,False,1.69,BULL,8.55,241.59,222.56
FANG,33,130.19,151.0,0.8622,True,True,True,True,True,True,True,True,True,203.56,192.7,165.99,159.64,-4.7,7.87,-4.7,False,1.65,BULL,6.76,189.13,177.15
OXY,34,129.68,189.91,0.6828,True,True,True,True,True,True,True,True,True,59.62,58.47,48.28,47.45,-10.0,12.43,-1.1,False,4.89,BULL,6.7,55.97,52.46
IRM,35,124.78,161.09,0.7746,True,True,True,True,True,True,True,True,True,125.07,112.82,99.84,98.42,-5.3,-2.93,-5.3,True,-2.1,BULL,7.18,114.17,106.52
AMAT,36,109.04,144.33,0.7555,True,True,True,True,True,True,True,True,True,436.62,380.81,313.87,280.81,-1.6,0.27,-1.6,False,-0.89,BULL,12.35,385.62,343.23
CAT,37,108.31,149.64,0.7238,True,True,True,True,True,True,True,True,True,888.31,781.31,670.89,612.97,-4.2,-1.02,-4.2,True,-3.47,BULL,11.05,795.46,716.32
EOG,38,106.26,142.19,0.7473,True,True,True,True,True,True,True,True,True,140.26,136.32,117.79,116.95,-5.7,7.87,-1.0,False,3.14,BULL,5.24,132.33,125.74
HAL,39,97.76,110.42,0.8854,True,True,True,True,True,True,True,True,True,41.76,38.48,32.5,29.92,-1.3,4.85,-0.5,False,1.14,BULL,9.4,38.25,34.97
DVN,40,89.94,130.4,0.6898,True,True,True,True,True,True,True,True,True,49.49,47.88,40.71,39.01,-5.0,8.51,-3.5,False,4.76,BULL,6.95,46.77,43.73
ADI,42,86.48,133.1,0.6497,True,True,True,True,True,True,True,True,True,417.49,356.38,305.84,289.14,-3.4,0.23,-3.4,False,-2.18,BULL,10.31,366.55,332.3
EME,45,80.0,118.41,0.6756,True,True,True,True,True,True,True,True,True,913.11,809.33,722.88,699.7,-3.2,-0.93,-3.2,False,-1.82,BULL,8.28,823.66,760.67
COP,46,76.4,116.12,0.6579,True,True,True,True,True,True,True,True,True,122.41,122.28,103.98,101.03,-7.8,8.3,-1.3,False,2.89,BULL,5.89,117.97,111.41
TXN,47,75.36,163.22,0.4617,True,True,True,True,True,True,True,True,True,302.73,230.34,199.31,195.54,-1.8,5.19,-1.8,False,-1.77,BULL,10.79,244.4,220.6
CBOE,49,68.38,95.6,0.7153,True,True,True,True,True,True,True,True,True,363.02,305.25,275.16,266.61,-1.0,4.15,-1.0,False,1.21,BULL,7.2,311.77,290.82
KLAC,50,66.96,113.6,0.5895,True,True,True,True,True,True,True,True,True,1804.32,1653.15,1418.41,1303.51,-6.8,-3.47,-4.7,True,-4.68,BULL,10.59,1674.67,1514.26
CSX,51,62.74,85.68,0.7323,True,True,True,True,True,True,True,True,True,45.66,42.34,38.78,37.6,-1.1,1.85,-0.6,False,-0.57,BULL,5.71,42.74,40.43
TGT,52,62.2,78.78,0.7895,True,True,True,True,True,True,True,True,True,121.54,121.28,105.99,102.41,-7.1,-2.05,-5.8,True,-1.25,BULL,5.87,120.21,113.55
CSCO,53,60.5,100.97,0.5992,True,True,True,True,True,True,True,True,True,118.21,85.76,78.99,76.02,0.0,22.41,0.0,False,2.32,BULL,8.21,90.05,83.21
PSX,55,57.87,94.56,0.612,True,True,True,True,True,True,True,True,True,176.2,171.03,150.0,144.18,-6.4,2.7,-2.3,False,2.73,BULL,5.94,166.92,157.56
CTVA,57,51.44,66.85,0.7696,True,True,True,True,True,True,True,True,True,82.21,81.1,72.59,71.97,-3.8,1.33,-2.0,False,-1.31,BULL,4.36,79.8,76.47
LRCX,58,50.03,100.6,0.4974,True,True,True,True,True,True,True,True,True,284.72,247.87,206.7,183.41,-4.8,-3.17,-4.8,True,-4.82,BULL,12.82,252.59,223.9
