ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
SNDK,1,2121.29,2463.01,0.8613,True,True,True,True,True,True,True,True,True,1382.72,905.81,529.43,415.12,-11.5,3.19,-11.5,False
BE,4,341.71,581.11,0.588,True,True,True,True,True,True,True,True,True,275.95,199.62,149.23,126.99,-9.1,5.72,-9.1,False
PL,6,314.37,437.43,0.7187,True,True,True,True,True,True,True,True,True,41.62,33.94,23.72,20.1,-3.3,6.61,-3.3,False
BKSY,7,209.52,383.83,0.5459,True,True,True,True,True,True,True,True,True,38.75,31.91,24.78,23.46,-9.2,-1.77,-9.2,True
MU,8,158.13,307.28,0.5146,True,True,True,True,True,True,True,True,True,776.01,479.63,358.8,303.93,-3.4,20.01,-3.4,False
ABSI,10,145.79,366.44,0.3978,True,True,True,True,True,True,True,True,True,5.13,3.72,3.47,3.31,-13.8,-13.05,-13.8,True
RKLB,18,0.81,29.24,0.0278,True,True,True,True,True,True,True,True,True,124.77,79.25,70.59,64.94,-5.9,18.3,-5.9,False
GLW,2,540.24,651.52,0.8292,True,True,True,True,True,True,True,False,False,208.28,155.83,117.39,105.97,0.0,14.19,0.0,False
LASR,3,365.4,449.2,0.8134,True,True,True,True,True,True,True,False,False,75.61,67.99,49.71,44.26,-11.0,2.3,-11.0,False
GEV,5,332.84,364.73,0.9126,True,True,True,True,True,True,True,False,False,1090.53,961.72,765.33,729.22,-5.1,4.29,-2.5,False
EWY,9,153.71,221.39,0.6943,True,True,True,True,True,True,True,False,False,178.86,146.32,118.79,107.79,-7.3,-5.96,-7.3,True
AVGO,11,43.75,100.59,0.435,True,True,True,True,True,True,True,False,False,439.79,367.39,353.85,345.21,0.0,6.6,0.0,False
C,12,10.24,38.18,0.2681,True,True,True,True,True,True,True,False,False,124.82,119.35,111.96,107.81,-5.7,-3.31,-3.3,True
QQQ,13,8.19,31.8,0.2575,True,True,True,True,True,True,True,False,False,708.93,631.29,619.41,609.83,-1.5,-0.32,-1.5,False
AMZN,14,6.48,44.12,0.1469,True,True,True,True,True,True,True,False,False,267.22,235.8,230.31,229.25,-2.8,-1.46,-2.8,True
GOOGL,15,6.06,39.61,0.153,True,True,True,True,True,True,True,False,False,401.07,330.81,312.19,290.06,-0.4,0.77,-0.4,False
AAPL,16,4.79,22.31,0.2146,True,True,True,False,True,True,True,False,False,298.21,265.17,266.03,258.19,-0.2,3.84,-0.2,False
LPTH,17,2.46,34.4,0.0716,True,True,True,True,False,True,False,False,False,11.52,12.21,10.48,9.25,-28.4,0.09,-10.5,False
RDW,19,-0.06,-9.56,0.0061,True,False,False,True,True,True,False,True,False,14.06,9.81,8.81,8.99,-31.6,27.01,0.0,False
GS,20,-0.13,-7.04,0.0185,True,True,True,True,True,True,True,False,False,968.96,878.94,865.02,835.98,-0.2,4.65,0.0,False
IMNM,21,-0.16,-9.03,0.0173,True,True,True,True,False,True,True,False,False,20.88,22.03,20.79,18.21,-22.6,-6.95,-10.5,False
MOB,23,-14.0,-54.59,0.2564,False,True,True,False,False,True,False,False,False,5.51,5.72,6.52,6.49,-46.0,-12.95,-18.7,False
ONDS,24,-17.55,-49.18,0.357,True,True,True,True,True,True,True,False,False,10.62,9.91,9.48,8.57,-24.2,17.22,-5.3,False
ASTS,25,-31.27,-61.58,0.5078,True,True,True,True,False,True,False,False,False,83.67,83.71,82.8,74.68,-31.5,11.49,0.0,False
LAES,26,-52.33,-82.8,0.632,False,True,False,False,False,True,False,False,False,2.87,2.91,4.13,3.92,-62.5,-1.71,-13.6,False
AVAV,27,-76.78,-87.9,0.8735,False,False,False,False,False,False,False,False,False,158.0,192.4,262.87,265.96,-61.4,-6.11,-12.3,False
KTOS,28,-78.9,-87.98,0.8968,False,True,True,False,False,True,False,False,False,52.09,71.81,83.15,80.79,-60.2,-10.02,-15.9,False
